t/s;P(∆T=9,8K);P(∆T=7,9K);P(∆T=6,9K);P(∆T=6,0K)
11,48;0;0;0;0
13,4608;0;0;0;0
14,968;0;0;0;0
17,549;0;0;0;0
18,118;0;0;0;0
19,308;0;0;0;0
22,164;0;0;0;0
22,641;0;0;0;0
23,622;0;0;0;0
26;0,006151;0;0;0
28,291;0,007174;0;0;0
28,593;0,007322;0;0;0
36,886;0,010018;0;0;0
37,678;0,010043;0;0;0
44,176;0,008854;0;0;0
48,091;0,008608;0;0;0
52,909;0,008982;0;0;0
61,383;0,010168;0;0;0
64,727;0,01069;0;0;0
69,722;0,011478;0;0;0
77,525;0,012583;0;0;0
84,397;0,012912;0;0;0
89,938;0,012965;0;0;0
89,941;0,012965;0;0;0
97;0,014961;0,006436;0;0
110,039;0,015782;0,006592;0;0
121,084;0,030129;0,007631;0;0
127,653;0,036382;0,008608;0;0
136,094;0,043042;0,010597;0;0
141,943;0,051878;0,012334;0;0
148,174;0,057389;0,013812;0;0
152,9;0,060444;0,014347;0;0
191,19;0,07891;0,016296;0;0
195,16;0,08577;0,017217;0;0
195,31;0,086083;0,017254;0;0
205,77;0,096822;0,020809;0;0
221,89;0,110473;0,028704;0;0
236,29;0,123099;0,037303;0;0
241,28;0,127629;0,040227;0;0
246,46;0,132433;0,042534;0;0
254,53;0,140332;0,044476;0;0
254,79;0,140603;0,044532;0;0
271,59;0,157819;0,048201;0;0
292,06;0,171838;0,052919;0;0
298,47;0,176109;0,054519;0;0
315,18;0,187948;0,059493;0;0
326;0,206349;0,070301;0;0,002523
350,59;0,222382;0,08543;0;0,0089
361,45;0,232936;0,096126;0;0,012729
376,76;0,246291;0,104626;0;0,017623
380,8;0,249588;0,105983;0;0,018853
384,9;0,25286;0,107134;0;0,020086
389,98;0,256815;0,108324;0;0,021597
393,53;0,259512;0,109039;0;0,022641
422;0,285622;0,114492;0,016334;0,032999
437,61;0,293424;0,116212;0,016965;0,036123
438,44;0,294118;0,116375;0,017016;0,036393
441,82;0,296982;0,117064;0,017217;0,037477
466,02;0,318279;0,122726;0,018439;0,043042
486,66;0,336232;0,12769;0,019299;0,043828
498,25;0,345768;0,130229;0,019744;0,04364
529,3;0,36919;0,138094;0,020885;0,043042
541,22;0,378042;0,142037;0,021324;0,04292
560,22;0,393113;0,149329;0,022049;0,042821
582,21;0,412978;0,158847;0,022956;0,042794
614,93;0,439385;0,175036;0,024512;0,042852
616,66;0,440459;0,175989;0,024603;0,042857
661,42;0,460178;0,202148;0,02729;0,043042
676,8;0,465768;0,209469;0,028396;0,043117
693,24;0,472023;0,215816;0,029708;0,043192
727,62;0,486905;0,22675;0,032999;0,04326
775,53;0,511582;0,24056;0,039387;0,043042
777,16;0,512503;0,241033;0,039655;0,043029
796,22;0,523673;0,246633;0,043167;0,042881
817,84;0,537268;0,253123;0,04878;0,042747
844,42;0,554966;0,261272;0,063128;0,042691
902;0,594758;0,27977;0,074102;0,043197
905,04;0,596844;0,280801;0,074601;0,043253
939,12;0,619492;0,292846;0,080344;0,044134
979,48;0,64332;0,307134;0,088023;0,045911
992,72;0,650204;0,311334;0,090714;0,046717
1007;0,657102;0,31548;0,093656;0,047724
1033,43;0,66866;0,322399;0,098996;0,049987
1089,84;0,690742;0,335448;0,107604;0,056738
1104,17;0,696212;0,338594;0,109654;0,058937
1132,27;0,707317;0,344733;0,113626;0,063954
1161,02;0,719887;0,351091;0,117426;0,070301
1199,23;0,738007;0,359867;0,121951;0,081472
1233,19;0,753228;0,368117;0,125492;0,094532
1241,29;0,756551;0,370158;0,126292;0,097932
1250,96;0,760369;0,372633;0,127232;0,101865
1347,64;0,791654;0,397553;0,136329;0,117647
1371,88;0,797704;0,403334;0,138676;0,119604
1376,86;0,79885;0,404479;0,139168;0,119994
1410,47;0,805748;0,411765;0,142594;0,122566
1525,9;0,823529;0,432331;0,156564;0,131374
1580,9;0,831742;0,442015;0,164993;0,136
1602,6;0,835025;0,446198;0,168708;0,138003
1614,4;0,836827;0,448624;0,170829;0,139168
1752,2;0,857963;0,481754;0,198472;0,159594
1757,8;0,858829;0,483155;0,199652;0,160689
1777,4;0,861834;0,487944;0,20373;0,163581
1782,8;0,862661;0,48924;0,204846;0,164127
1853,8;0,873422;0,505466;0,21856;0,170732
1956,1;0,88796;0,528607;0,232425;0,181564
1983,3;0,891468;0,535151;0,234984;0,184632
1990,9;0,892396;0,537006;0,235643;0,185495
2174,6;0,906167;0,582266;0,251362;0,209469
2190,7;0,906743;0,585806;0,253083;0,212037
2222,3;0,907772;0,59239;0,256815;0,217396
2230,3;0,908016;0,593974;0,257846;0,21881
2444,9;0,914257;0,629384;0,299067;0,253945
2472,4;0,915179;0,633444;0,305595;0,2561
2515;0,916786;0,639795;0,315804;0,258397
2534,4;0,917622;0,642755;0,320412;0,259126
2750,8;0,933809;0,680226;0,362984;0,261117
2767,6;0,935438;0,683258;0,365376;0,261107
2789,7;0,937591;0,687231;0,368343;0,261105
2806,8;0,939237;0,69025;0,370488;0,261119
3111,1;0,962697;0,737335;0,397803;0,264071
3125,5;0,963296;0,739177;0,398852;0,264316
3170,5;0,964673;0,74462;0,402099;0,265128
3256,5;0,965538;0,753745;0,408342;0,266858
3423;0,965567;0,767966;0,421587;0,270644
3513,7;0,967051;0,775004;0,430416;0,272773
3564,3;0,968182;0,779053;0,43625;0,27394
3778,5;0,973088;0,798045;0,462353;0,278336
3847,1;0,974175;0,804607;0,468878;0,27942
3867,4;0,974404;0,806589;0,470588;0,279709
3964,9;0,974905;0,816356;0,477742;0,280957
4157,4;0,974249;0,836323;0,489612;0,284075
4232,6;0,974175;0,843436;0,49407;0,287764
4317,7;0,974738;0,850789;0,499248;0,293427
4384,5;0,975584;0,856151;0,503512;0,296987
4488,7;0,977304;0,864074;0,51076;0,30156
4559,2;0,978479;0,869217;0,516231;0,304399
4910,9;0,981349;0,893472;0,549615;0,319023
4928,5;0,981468;0,894662;0,551465;0,319943
4958,8;0,981675;0,8967;0,554643;0,321667
5101,5;0,98267;0,906305;0,569584;0,333961
5198,3;0,983347;0,912521;0,579407;0,341463
5515,8;0,985518;0,928264;0,610146;0,356256
5675,9;0,986564;0,934076;0,625538;0,36433
5720,7;0,98685;0,935578;0,62995;0,367288
5874;0,987088;0,936811;0,633687;0,370474
6034,1;1;0,945193;0,658596;0,393113
6181,6;1;0,949386;0,66858;0,396387
6401;1;0,955524;0,680129;0,399424
6471,7;1;0,957573;0,683422;0,4002
6752,5;1;0,964279;0,695652;0,40289
6895,3;1;0,965567;0,701727;0,404199
7023,9;1;0,966339;0,707317;0,405462
7076,2;1;0,96662;0,709651;0,406026
7704;1;0,970374;0,740311;0,417504
7897,1;1;0,972456;0,750359;0,42232
7915,7;1;0,97274;0,751334;0,423012
8039;1;0,975686;0,757744;0,428981
8172,9;1;0,985653;0,764479;0,437175
8570,5;1;0,987831;0,781242;0,46198
8784,6;1;0,987165;0,787661;0,471425
8803,2;1;0,987088;0,788133;0,472101
8943,6;1;0,986453;0,791328;0,477762
9333,5;1;0,985017;0,798229;0,499283
9636,5;1;0,985389;0,802972;0,51076
9685,2;1;0,985653;0,803763;0,512746
9979,8;1;0,988493;0,809182;0,525213
10383;1;0,993815;0,819597;0,542324
10432,9;1;0,994261;0,821071;0,544411
10607;1;0,993621;0,826263;0,553802
10873;1;0,991627;0,835801;0,573888
11100,5;1;1;0,839311;0,57874
11118,4;1;1;0,83971;0,579264
11674,5;1;1;0,850351;0,591105
12052,9;1;1;0,856677;0,596844
12611,5;1;1;0,866571;0,615678
13300,7;1;1;0,880918;0,636896
13408,3;1;1;0,881282;0,639885
14192,3;1;1;0,882254;0,660057
15432;1;1;0,886657;0,695501
15566;1;1;0,887617;0,700143
17507;1;1;0,911016;0,779053
17909;1;1;0,916786;0,784532
18073;1;1;0,91908;0,774749
18264;1;1;0,921696;0,764706
18264;1;1;0,921704;0,767575
18701;1;1;0,927489;0,784167
19063;1;1;0,932082;0,799139
19267;1;1;0,934631;0,806313
19919;1;1;0,942611;0,80984
21459;1;1;0,959828;0,818185
21656;1;1;0,961328;0,819225
22161;1;1;0,963769;0,82188
24117;1;1;0,965567;0,833097
24341;1;1;0,965554;0,835007
24868;1;1;0,965475;0,855093
26826;1;1;0,965004;0,890704
28565;1;1;0,964729;0,916786
31444;1;1;0,965567;0,9743458
36492;1;1;0,976096;0,9828972
45382;1;1;0,977044;0,9914486
48087;1;1;0,982748;1
54031;1;1;0,984218;1
55790;1;1;0,984582;1
57754;1;1;0,984701;1
60081;1;1;1;1
69706;1;1;1;1
69715;1;1;1;1
75083;1;1;1;1
81746;1;1;1;1
82612;1;1;1;1
84379;1;1;1;1
